                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1588,                0.88569,                 1.1916,                0.64182,                0.49049,                 0.5242,                 0.2904,                 1.5566,                  1.197,                 1.6109,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.1825,                0.90215,                 1.2076,                0.71589,                0.48649,                0.53474,                0.29519,                  1.552,                 1.1976,                 1.5913,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.1664,                0.90038,                 1.1966,                 0.7271,                0.47939,                0.51712,                 0.2905,                 1.5398,                 1.1992,                 1.5865,             0.00019821,             0.00019821,             0.00019821
                     91,                  1.146,                0.87751,                 1.1668,                0.77536,                   0.44,                0.51337,                0.28311,                 1.5269,                 1.2177,                 1.5642,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.1129,                0.84297,                 1.1428,                0.59271,                 0.4772,                0.49501,                0.27916,                 1.5715,                 1.2749,                 1.6331,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.1044,                0.82579,                 1.1436,                 0.5545,                0.51427,                0.49655,                0.28267,                 1.5765,                 1.3308,                 1.6473,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.1091,                0.80584,                  1.144,                0.63959,                0.51159,                0.51126,                0.28856,                 1.5446,                 1.2309,                 1.6061,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.0825,                0.78928,                 1.1254,                0.64962,                0.49577,                 0.5172,                0.29197,                 1.5357,                 1.1898,                 1.6229,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.0676,                0.77055,                 1.1283,                0.69713,                0.47897,                 0.5232,                0.29059,                 1.5067,                 1.1482,                 1.5878,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.0553,                0.76398,                 1.1223,                0.63414,                0.52878,                0.52207,                0.28798,                 1.5108,                 1.1549,                 1.5926,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.0586,                0.76201,                 1.1245,                0.67336,                0.49176,                0.51511,                0.28117,                 1.5138,                 1.1551,                 1.5939,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.0396,                 0.7645,                  1.102,                0.61016,                0.53375,                0.51773,                  0.281,                 1.5277,                 1.1759,                  1.603,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.0501,                0.76724,                   1.12,                0.66925,                0.49936,                0.51481,                0.28265,                 1.5285,                 1.1716,                 1.6055,             3.3173e-05,             3.3173e-05,             3.3173e-05
